target_shared_id,target_label_en,target_country_count,jurisdiction,product_id,product_name,target_local_labels,registration_use_count,source_record_count,pairing_status
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:d4dc718d516ce7075c3ce8d8,丙硫·咯菌腈·噻虫胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:d2510fac2092993e3bbee5d6,丙硫·咯菌腈·噻虫胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:57cb70b53b6a0dc9024e1f0e,丙硫·精甲·噻虫胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:332c58cd51505a56d45f5d44,二氯异氰尿酸钠,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:2c63c24e7770d5244ef687af,井冈·枯芽菌,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:e54e1e696386dfb7bdadf773,井冈霉素,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:6312b268a8c04d0554f3fda0,井冈霉素A,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:3fa761cc5a79f5661914c5b8,十三吗啉,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:caab22e0fc080b883e958032,吡·萎·福美双,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:17b2562d176fe0c4a9b6197d,吡唑酯·氟啶胺·噻虫胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:38eaf703d673d1bdf79c33d4,吡唑酯·氟啶胺·噻虫胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:aad33ce809bfc1c95aabd6ab,吡唑酯·甲硫灵·噻呋,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:f00ea3dc23db93dab46aff07,吡唑酯·精甲霜·甲维,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:1252e3ead6614d7642dbc51e,吡唑酯·精甲霜·甲维,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:8ffa1a7aaf9c228b565f6362,吡唑酯·精甲霜·甲维,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:46d1b30ada7dd59f75249c7c,吡唑酯·精甲霜·甲维,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:6102df4e0a6055ea208f2cb0,吡唑酯·精甲霜·甲维,根腐病,1,1,official_pair_asserted
